"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","empty string","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","1854","Trading pairs table displays data","firefox","Fri Dec 05 19:58:51 GMT+04:00 2025","passed","Fri Dec 05 19:58:53 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","2","case sensitivity","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","4577","Download section title is visible","chromium","Fri Dec 05 19:57:47 GMT+04:00 2025","passed","Fri Dec 05 19:57:52 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","3","case sensitivity","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","2420","Spot section title and categories are visible","firefox","Fri Dec 05 19:58:47 GMT+04:00 2025","passed","Fri Dec 05 19:58:49 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","2181","all main menu items are visible and clickable","firefox","Fri Dec 05 19:58:40 GMT+04:00 2025","passed","Fri Dec 05 19:58:42 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","1","empty string","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","4","order of appearance","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","3","case sensitivity","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","1498","Google Play link is visible and correct","firefox","Fri Dec 05 19:58:33 GMT+04:00 2025","passed","Fri Dec 05 19:58:35 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","10252","Show More button is visible and clickable","firefox","Fri Dec 05 19:58:58 GMT+04:00 2025","passed","Fri Dec 05 19:59:08 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","3","numbers","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","3715","Show More button is visible and clickable","chromium","Fri Dec 05 19:58:15 GMT+04:00 2025","passed","Fri Dec 05 19:58:19 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","4939","Trading pairs table displays correct columns","webkit","Fri Dec 05 20:00:03 GMT+04:00 2025","passed","Fri Dec 05 20:00:08 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","1612","App Store link is visible and correct","chromium","Fri Dec 05 19:57:52 GMT+04:00 2025","passed","Fri Dec 05 19:57:53 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","3","numbers","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","0","single char","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","2267","Markets link navigates to markets page","firefox","Fri Dec 05 19:58:42 GMT+04:00 2025","passed","Fri Dec 05 19:58:44 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","10","numbers","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","1550","Trading pairs table displays correct columns","chromium","Fri Dec 05 19:58:09 GMT+04:00 2025","passed","Fri Dec 05 19:58:11 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","5436","Marketing banner appear at page bottom","webkit","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:16 GMT+04:00 2025","Content Validation Tests > Homepage - Marketing Banners","contentValidation.spec.ts","",""
"","1353","Google Play link is visible and correct","chromium","Fri Dec 05 19:57:53 GMT+04:00 2025","passed","Fri Dec 05 19:57:55 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","3","hello world","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","4792","Trading pairs table displays data","webkit","Fri Dec 05 20:00:08 GMT+04:00 2025","passed","Fri Dec 05 20:00:13 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","4790","Markets link navigates to markets page","webkit","Fri Dec 05 19:59:48 GMT+04:00 2025","passed","Fri Dec 05 19:59:53 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","3","special characters","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","3093","Spot link navigates to spot page","chromium","Fri Dec 05 19:58:05 GMT+04:00 2025","passed","Fri Dec 05 19:58:08 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","0","repeated chars","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","3","repeated chars","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","3","special characters","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","5230","Marketing banner contains expected content","webkit","Fri Dec 05 19:59:16 GMT+04:00 2025","passed","Fri Dec 05 19:59:21 GMT+04:00 2025","Content Validation Tests > Homepage - Marketing Banners","contentValidation.spec.ts","",""
"","4870","Category tabs filter trading pairs","webkit","Fri Dec 05 20:00:13 GMT+04:00 2025","passed","Fri Dec 05 20:00:18 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","4846","Trading pair data structure is correct","webkit","Fri Dec 05 20:00:23 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","2","empty string","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","0","single char","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","5768","Spot link navigates to spot page","webkit","Fri Dec 05 19:59:53 GMT+04:00 2025","passed","Fri Dec 05 19:59:59 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","3","order of appearance","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","5016","Why Multibank option is clickable","firefox","Fri Dec 05 19:58:35 GMT+04:00 2025","passed","Fri Dec 05 19:58:40 GMT+04:00 2025","Content Validation Tests > About Us - Why Multibank","contentValidation.spec.ts","",""
"","5032","Show More button is visible and clickable","webkit","Fri Dec 05 20:00:18 GMT+04:00 2025","passed","Fri Dec 05 20:00:23 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
